,Date_sampled,Season,type,Ammonia,BOD,Location,treatment_train,Ammonia_average_Loc,delta_ammonia_by_date,Delta_Ammonia_Loc,Temperature,Percipitation_Regime,count,meanR,sdR,meanShann,sdShan,meanSimp,sdSimp,meanE,sdE
13,10/20/2019,Autumn,aqueous,11.2,NA,Allen,5,16.31,8.51,NA,17.3,Dry,1,123,NA,4.760229541,NA,0.991030857,NA,0.989203486,NA
18,12/9/2019,Winter,aqueous,19.66,75,Allen,5,16.31,6.73,NA,12.5,Wet,1,1560,NA,7.174462022,NA,0.999110922,NA,0.975793199,NA
21,1/9/2020,Winter,aqueous,18.25,37,Allen,5,16.31,5.7,NA,10,Wet,1,632,NA,6.335949646,NA,0.998049441,NA,0.982486946,NA
31,1/17/2020,Spring,aqueous,16.12,NA,Allen,5,16.31,6.81,-10.56,10.2,Wet,1,415,NA,5.894385798,NA,0.996895518,NA,0.977789228,NA
8,10/5/2019,Autumn,aqueous,3.19,38,BayDischarge,8,2.79,9.86,NA,16.9,Dry,1,700,NA,6.440458927,NA,0.998237864,NA,0.983114021,NA
24,1/9/2020,Winter,aqueous,3.96,NA,BayDischarge,8,2.79,10.1,NA,14.5,Wet,1,761,NA,6.496177645,NA,0.998304049,NA,0.979131369,NA
33,1/17/2020,Spring,aqueous,1.23,NA,BayDischarge,8,2.79,8.53,NA,10,Wet,1,441,NA,5.954646688,NA,0.997098831,NA,0.97792787,NA
5,10/5/2019,Autumn,aqueous,30.07,27,EW_influent,4,26.87,6.81,NA,16.2,Dry,1,1029,NA,6.791267921,NA,0.998727805,NA,0.979084826,NA
12,10/20/2019,Autumn,aqueous,15.46,NA,EW_influent,4,26.87,6.3,NA,18.2,Dry,1,1140,NA,6.876105165,NA,0.998806245,NA,0.976888283,NA
17,12/9/2019,Winter,aqueous,33.29,80,EW_influent,4,26.87,8.1,NA,12.8,Wet,1,80,NA,4.31125157,NA,0.98605977,NA,0.983848783,NA
20,1/9/2020,Winter,aqueous,28.12,41,EW_influent,4,26.87,7.3,NA,10,Wet,1,645,NA,6.33214773,NA,0.998002573,NA,0.978807036,NA
30,1/17/2020,Spring,aqueous,27.41,NA,EW_influent,4,26.87,6.79,6.79,10.1,Wet,1,341,NA,5.718478146,NA,0.996391866,NA,0.980554421,NA
6,10/5/2019,Autumn,aqueous,11.14,NA,Gearheart,6,13.6,9.1,NA,15.7,Dry,1,764,NA,6.548428965,NA,0.998441026,NA,0.986421947,NA
22,1/9/2020,Winter,aqueous,11.15,22,Gearheart,6,13.6,3.61,NA,10.2,Wet,1,1336,NA,7.057865864,NA,0.999032526,NA,0.980608441,NA
32,1/17/2020,Spring,aqueous,18.52,NA,Gearheart,6,13.6,2.71,-2.7,10.1,Wet,1,484,NA,6.04149539,NA,0.997332525,NA,0.977258559,NA
7,10/5/2019,Autumn,aqueous,11.18,64,Hauser,7,12.65,0.95,NA,16.9,Dry,1,994,NA,6.765206426,NA,0.998707426,NA,0.980217911,NA
23,1/9/2020,Winter,aqueous,14.12,NA,Hauser,7,12.65,6.41,-0.95,10.2,Wet,1,1448,NA,7.128580357,NA,0.999071699,NA,0.97947795,NA
1,10/3/2019,Autumn,aqueous,20.4,NA,OxPond_1,1,28.15,0,NA,17.9,Dry,1,397,NA,5.870664784,NA,0.996859936,NA,0.981070738,NA
9,10/20/2019,Autumn,aqueous,20.11,NA,OxPond_1,1,28.15,0,NA,17.5,Dry,1,89,NA,4.444375562,NA,0.987856658,NA,0.990139364,NA
14,12/9/2019,Winter,aqueous,40.4,40.5,OxPond_1,1,28.15,0,NA,13.5,Wet,1,1120,NA,6.882253344,NA,0.998847382,NA,0.980226612,NA
25,1/10/2020,Winter,aqueous,20.98,NA,OxPond_1,1,28.15,0,0,14.2,Wet,1,1154,NA,6.952039567,NA,0.99896067,NA,0.985966526,NA
27,1/17/2020,Spring,aqueous,23.5,NA,OxPond_1,1,28.15,0,NA,14.3,Wet,1,875,NA,6.634775926,NA,0.998524176,NA,0.979414917,NA
2,10/3/2019,Autumn,aqueous,34.02,NA,OxPond2,2,24.2,5.31,NA,16.3,Dry,1,1153,NA,6.889267679,NA,0.998835155,NA,0.977184107,NA
3,10/5/2019,Autumn,aqueous,19.1,NA,OxPond2,2,24.2,5.2,NA,15.8,Dry,1,1008,NA,6.762371476,NA,0.998678662,NA,0.977825607,NA
10,10/20/2019,Autumn,aqueous,21.96,NA,OxPond2,2,24.2,6.54,NA,16.3,Dry,1,891,NA,6.652989263,NA,0.998551625,NA,0.979483496,NA
15,12/9/2019,Winter,aqueous,18.58,NA,OxPond2,2,24.2,4.13,NA,11.4,Wet,1,1470,NA,7.17648197,NA,0.999146639,NA,0.98402092,NA
26,1/10/2020,Winter,aqueous,20.04,40,OxPond2,2,24.2,3.2,-3.95,13.2,Wet,1,1319,NA,7.027909997,NA,0.99898989,NA,0.978186883,NA
28,1/17/2020,Spring,aqueous,31.02,67,OxPond2,2,24.2,4.9,NA,9.3,Wet,1,1320,NA,7.044358949,NA,0.999015304,NA,0.980372934,NA
4,10/5/2019,Autumn,aqueous,27.84,73,Treatmentmarshes,3,20.08,4.12,NA,16.6,Dry,1,718,NA,6.450599624,NA,0.99823743,NA,0.98086056,NA
11,10/20/2019,Autumn,aqueous,11.19,30,Treatmentmarshes,3,20.08,4.6,NA,15.8,Dry,1,1010,NA,6.763799058,NA,0.998679839,NA,0.977751792,NA
16,12/9/2019,Winter,aqueous,13.15,78,Treatmentmarshes,3,20.08,3.9,NA,12.4,Wet,1,1739,NA,7.305869046,NA,0.999235509,NA,0.979199155,NA
19,1/9/2020,Winter,aqueous,27.12,27,Treatmentmarshes,3,20.08,6.79,NA,10,Wet,1,588,NA,6.233742562,NA,0.997788526,NA,0.977577151,NA
29,1/17/2020,Spring,aqueous,21.1,NA,Treatmentmarshes,3,20.08,4.42,-4.12,10.2,Wet,1,375,NA,5.805131539,NA,0.996674312,NA,0.979450648,NA
